Code Officiel Région;Code Officiel Commune / Arrondissement Municipal;Code Officiel Département;Nom Officiel Commune / Arrondissement Municipal;Code interne de la variable;Valeur;Année de référence géographique;Année;Code Officiel EPCI;Nom Officiel EPCI;Nom de la variable;Nom Officiel Département;Nom Officiel Région
04;974406;974;Plaine-Des-Palmistes;csx_rec3taxtypac_rec2rpop;20.981076128125924;2021;2019;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974407;974;Port;csx_rec4taxtypac_rec1rpop;1182.0847287405884;2021;2019;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974409;974;Saint-André;csx_rec2taxtypac_rec1rpop;1090.2419286935499;2021;2019;;;Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi;La Réunion;La Réunion
04;974413;974;Saint-Leu;csx_rec6taxtypac_rec1rpop;1449.475585151985;2021;2019;;;Ouvriers Actifs ayant un emploi;La Réunion;La Réunion
04;974414;974;Saint-Louis;csx_rec1taxtypac_rec1rpop;169.89955539489586;2021;2019;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974418;974;Sainte-Marie;csx_rec1taxtypac_rec1rpop;58.44712591696421;2021;2019;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974421;974;Salazie;csx_rec2taxtypac_rec1rpop;95.0;2021;2019;;;Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi;La Réunion;La Réunion
04;974421;974;Salazie;csx_rec2taxtypac_rec2rpop;0.0;2021;2019;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974421;974;Salazie;csx_rec6taxtypac_rec2rpop;485.0;2021;2019;;;Ouvriers Chômeurs;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec3taxtypac_rec2rpop;110.87284036613438;2021;2019;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974401;974;Avirons;csx_rec3taxtypac_rec1rpop;536.3291594619828;2019;2017;;;Cadres et professions intellectuelles supérieures Actifs ayant un emploi;La Réunion;La Réunion
04;974405;974;Petite-Île;csx_rec4taxtypac_rec2rpop;160.02804049407385;2019;2017;;;Professions intermédiaires Chômeurs;La Réunion;La Réunion
04;974406;974;Plaine-Des-Palmistes;csx_rec1taxtypac_rec2rpop;5.1466274962898995;2019;2017;;;Agriculteurs Chômeurs;La Réunion;La Réunion
04;974410;974;Saint-Benoît;csx_rec2taxtypac_rec2rpop;98.19767557311039;2019;2017;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974410;974;Saint-Benoît;csx_rec5taxtypac_rec1rpop;2772.993952626133;2019;2017;;;Employés Actifs ayant un emploi;La Réunion;La Réunion
04;974411;974;Saint-Denis;csx_rec5taxtypac_rec2rpop;5222.978410307036;2019;2017;;;Employés Chômeurs;La Réunion;La Réunion
04;974412;974;Saint-Joseph;csx_rec5taxtypac_rec2rpop;2127.324004758019;2019;2017;;;Employés Chômeurs;La Réunion;La Réunion
04;974414;974;Saint-Louis;csx_rec3taxtypac_rec2rpop;42.51557887883341;2019;2017;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974418;974;Sainte-Marie;csx_rec1taxtypac_rec1rpop;60.046310097785955;2019;2017;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec1taxtypac_rec1rpop;660.2360900349231;2019;2017;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec5taxtypac_rec1rpop;5993.855635046795;2019;2017;;;Employés Actifs ayant un emploi;La Réunion;La Réunion
04;974401;974;Avirons;csx_rec4taxtypac_rec1rpop;952.6504766706663;2019;2012;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974410;974;Saint-Benoît;csx_rec6taxtypac_rec2rpop;1465.303916985048;2019;2012;;;Ouvriers Chômeurs;La Réunion;La Réunion
04;974412;974;Saint-Joseph;csx_rec3taxtypac_rec2rpop;25.170723817983344;2019;2012;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974412;974;Saint-Joseph;csx_rec4taxtypac_rec2rpop;440.778868032833;2019;2012;;;Professions intermédiaires Chômeurs;La Réunion;La Réunion
04;974413;974;Saint-Leu;csx_rec6taxtypac_rec1rpop;1688.5787940895686;2019;2012;;;Ouvriers Actifs ayant un emploi;La Réunion;La Réunion
04;974416;974;Saint-Pierre;csx_rec4taxtypac_rec2rpop;1096.9777605325992;2019;2012;;;Professions intermédiaires Chômeurs;La Réunion;La Réunion
04;974417;974;Saint-Philippe;csx_rec5taxtypac_rec2rpop;332.3502886568011;2019;2012;;;Employés Chômeurs;La Réunion;La Réunion
04;974418;974;Sainte-Marie;csx_rec2taxtypac_rec2rpop;79.13456182646394;2019;2012;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec1taxtypac_rec1rpop;793.5249977122118;2019;2012;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974403;974;Entre-Deux;csx_rec3taxtypac_rec2rpop;9.86512391090008;2021;2013;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974406;974;Plaine-Des-Palmistes;csx_rec5taxtypac_rec1rpop;572.4394034725165;2021;2013;;;Employés Actifs ayant un emploi;La Réunion;La Réunion
04;974407;974;Port;csx_rec4taxtypac_rec2rpop;397.7763105642991;2021;2013;;;Professions intermédiaires Chômeurs;La Réunion;La Réunion
04;974411;974;Saint-Denis;csx_rec2taxtypac_rec2rpop;352.19972421358943;2021;2013;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974411;974;Saint-Denis;csx_rec5taxtypac_rec1rpop;12119.565802929672;2021;2013;;;Employés Actifs ayant un emploi;La Réunion;La Réunion
04;974411;974;Saint-Denis;csx_rec6taxtypac_rec2rpop;3930.608560359825;2021;2013;;;Ouvriers Chômeurs;La Réunion;La Réunion
04;974413;974;Saint-Leu;csx_rec4taxtypac_rec1rpop;2139.2632513861636;2021;2013;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974414;974;Saint-Louis;csx_rec3taxtypac_rec2rpop;37.501253356816704;2021;2013;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974415;974;Saint-Paul;csx_rec4taxtypac_rec1rpop;7090.391041264063;2021;2013;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974418;974;Sainte-Marie;csx_rec4taxtypac_rec2rpop;351.2052434824926;2021;2013;;;Professions intermédiaires Chômeurs;La Réunion;La Réunion
04;974418;974;Sainte-Marie;csx_rec5taxtypac_rec1rpop;2909.1968194033852;2021;2013;;;Employés Actifs ayant un emploi;La Réunion;La Réunion
04;974421;974;Salazie;csx_rec1taxtypac_rec2rpop;0.0;2021;2013;;;Agriculteurs Chômeurs;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec1taxtypac_rec1rpop;789.3218047054146;2021;2013;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec2taxtypac_rec2rpop;300.3099256286615;2021;2013;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec6taxtypac_rec1rpop;3031.3803322803265;2021;2013;;;Ouvriers Actifs ayant un emploi;La Réunion;La Réunion
04;974424;974;Cilaos;csx_rec1taxtypac_rec1rpop;15.85632895807273;2021;2013;;;Agriculteurs Actifs ayant un emploi;La Réunion;La Réunion
04;974401;974;Avirons;csx_rec5taxtypac_rec2rpop;422.76440524655857;2019;2007;;;Employés Chômeurs;La Réunion;La Réunion
04;974405;974;Petite-Île;csx_rec2taxtypac_rec1rpop;219.85239451391627;2019;2007;;;Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi;La Réunion;La Réunion
04;974405;974;Petite-Île;csx_rec2taxtypac_rec2rpop;14.9595484999611;2019;2007;;;Artisans, commerçants, chefs d'entreprise Chômeurs;La Réunion;La Réunion
04;974410;974;Saint-Benoît;csx_rec3taxtypac_rec1rpop;340.53770015306486;2019;2007;;;Cadres et professions intellectuelles supérieures Actifs ayant un emploi;La Réunion;La Réunion
04;974410;974;Saint-Benoît;csx_rec4taxtypac_rec1rpop;1339.6781189191895;2019;2007;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974413;974;Saint-Leu;csx_rec3taxtypac_rec2rpop;39.902075289393174;2019;2007;;;Cadres et professions intellectuelles supérieures Chômeurs;La Réunion;La Réunion
04;974413;974;Saint-Leu;csx_rec5taxtypac_rec2rpop;1037.1696874879526;2019;2007;;;Employés Chômeurs;La Réunion;La Réunion
04;974415;974;Saint-Paul;csx_rec4taxtypac_rec1rpop;6511.0484309351195;2019;2007;;;Professions intermédiaires Actifs ayant un emploi;La Réunion;La Réunion
04;974417;974;Saint-Philippe;csx_rec3taxtypac_rec1rpop;4.30970564135484;2019;2007;;;Cadres et professions intellectuelles supérieures Actifs ayant un emploi;La Réunion;La Réunion
04;974417;974;Saint-Philippe;csx_rec6taxtypac_rec1rpop;223.37151154065936;2019;2007;;;Ouvriers Actifs ayant un emploi;La Réunion;La Réunion
04;974419;974;Sainte-Rose;csx_rec2taxtypac_rec1rpop;64.0;2019;2007;;;Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi;La Réunion;La Réunion
04;974422;974;Tampon;csx_rec3taxtypac_rec1rpop;1322.0944048834456;2019;2007;;;Cadres et professions intellectuelles supérieures Actifs ayant un emploi;La Réunion;La Réunion
